Protein,Ligand,Docking_Score,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Heavy_Atoms,Aromatic_Rings,Formal_Charge,SMILES
1a0j,CHEMBL153534,0.7292119209799828,235.31599999999997,1.36192,2,4,2,82.22,16,2,0,Cc1cc(-c2csc(N=C(N)N)n2)cn1C
1a0j,CHEMBL294534,0.7369408277393408,187.246,1.3842999999999999,1,3,1,37.81,14,1,0,C1=C(c2cncnc2)C2CCC(C1)N2
1a0j,CHEMBL551709,0.7990632756157034,515.6100000000002,2.735500000000001,3,5,8,113.60000000000002,38,2,0,C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC#Cc1ccccc1C#CC=O
1a0j,CHEMBL5189219,0.7626369116746174,1048.8769999999988,3.0991200000000063,1,18,32,260.16999999999996,69,3,0,CCCCCCCCCC(=O)Oc1ccc(COP(=O)(OCc2ccc(OC(=O)CCCCCCCCC)cc2)OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2F)cc1.[Na+].[Na+]
1a0j,CHEMBL1383240,0.7032535604890618,252.65699999999998,2.1508000000000003,1,3,2,69.97,17,1,0,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)C1
1a0j,CHEMBL1760575,0.7063136662572284,418.54100000000045,4.998700000000004,1,5,7,71.25,31,3,0,CCCCCc1ccc(-c2cn(-c3ccc(O)c(C(=O)N4CCCCC4)c3)nn2)cc1
1a0j,CHEMBL2430114,0.7190824421209816,418.53000000000014,2.0220999999999996,3,6,3,104.06000000000002,30,0,0,[H][C@@]12C(C)(C)[C@]1([H])C[C@@H](C)[C@]13C=C(C)[C@H](OC(=O)C(C)C)[C@@]1(O)[C@H](O)C(CO)=C[C@]2([H])C3=O
1a0j,CHEMBL3701869,0.788402558139947,625.6700000000004,2.316180000000001,1,8,7,140.11999999999998,43,1,0,CCOC(=O)N1CCC(N2CCC2C(=O)N2C[C@H](S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]2C(=O)NC2(C#N)CC2)CC1
1a3w,CHEMBL153534,0.9388440396154377,235.31599999999997,1.36192,2,4,2,82.22,16,2,0,Cc1cc(-c2csc(N=C(N)N)n2)cn1C
1a3w,CHEMBL294534,0.9218865859254086,187.246,1.3842999999999999,1,3,1,37.81,14,1,0,C1=C(c2cncnc2)C2CCC(C1)N2
1a3w,CHEMBL551709,0.9152365992060516,515.6100000000002,2.735500000000001,3,5,8,113.60000000000002,38,2,0,C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC#Cc1ccccc1C#CC=O
1a3w,CHEMBL5189219,0.8891482287462511,1048.8769999999988,3.0991200000000063,1,18,32,260.16999999999996,69,3,0,CCCCCCCCCC(=O)Oc1ccc(COP(=O)(OCc2ccc(OC(=O)CCCCCCCCC)cc2)OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2F)cc1.[Na+].[Na+]
1a3w,CHEMBL1383240,0.9053322805314559,252.65699999999998,2.1508000000000003,1,3,2,69.97,17,1,0,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)C1
1a3w,CHEMBL1760575,0.9085354877171252,418.54100000000045,4.998700000000004,1,5,7,71.25,31,3,0,CCCCCc1ccc(-c2cn(-c3ccc(O)c(C(=O)N4CCCCC4)c3)nn2)cc1
1a3w,CHEMBL2430114,0.8679513013682347,418.53000000000014,2.0220999999999996,3,6,3,104.06000000000002,30,0,0,[H][C@@]12C(C)(C)[C@]1([H])C[C@@H](C)[C@]13C=C(C)[C@H](OC(=O)C(C)C)[C@@]1(O)[C@H](O)C(CO)=C[C@]2([H])C3=O
1a3w,CHEMBL3701869,0.9098279467724314,625.6700000000004,2.316180000000001,1,8,7,140.11999999999998,43,1,0,CCOC(=O)N1CCC(N2CCC2C(=O)N2C[C@H](S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]2C(=O)NC2(C#N)CC2)CC1
1a4k,CHEMBL153534,0.22393137193972618,235.31599999999997,1.36192,2,4,2,82.22,16,2,0,Cc1cc(-c2csc(N=C(N)N)n2)cn1C
1a4k,CHEMBL294534,0.010475839545785142,187.246,1.3842999999999999,1,3,1,37.81,14,1,0,C1=C(c2cncnc2)C2CCC(C1)N2
1a4k,CHEMBL551709,0.07672508481221355,515.6100000000002,2.735500000000001,3,5,8,113.60000000000002,38,2,0,C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC#Cc1ccccc1C#CC=O
1a4k,CHEMBL5189219,0.039053590320571395,1048.8769999999988,3.0991200000000063,1,18,32,260.16999999999996,69,3,0,CCCCCCCCCC(=O)Oc1ccc(COP(=O)(OCc2ccc(OC(=O)CCCCCCCCC)cc2)OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]2F)cc1.[Na+].[Na+]
1a4k,CHEMBL1383240,0.03353566305186242,252.65699999999998,2.1508000000000003,1,3,2,69.97,17,1,0,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)C1
1a4k,CHEMBL1760575,0.17294243521713434,418.54100000000045,4.998700000000004,1,5,7,71.25,31,3,0,CCCCCc1ccc(-c2cn(-c3ccc(O)c(C(=O)N4CCCCC4)c3)nn2)cc1
1a4k,CHEMBL2430114,0.22150880041205295,418.53000000000014,2.0220999999999996,3,6,3,104.06000000000002,30,0,0,[H][C@@]12C(C)(C)[C@]1([H])C[C@@H](C)[C@]13C=C(C)[C@H](OC(=O)C(C)C)[C@@]1(O)[C@H](O)C(CO)=C[C@]2([H])C3=O
1a4k,CHEMBL3701869,0.14235192388842957,625.6700000000004,2.316180000000001,1,8,7,140.11999999999998,43,1,0,CCOC(=O)N1CCC(N2CCC2C(=O)N2C[C@H](S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]2C(=O)NC2(C#N)CC2)CC1
